資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考	
30-023-01	唯信鈔_専修寺_平仮名本	1	1	衆	シユ	衆生	シユシヤウナリ			1	1			シユ〔左〕	シユシヤウ					7.5	左	衆生
30-023-01	唯信鈔_専修寺_平仮名本	2	1	生	シヤウ	衆生	シユシヤウナリ			2	2			シヤウ〔左〕	シユシヤウ					7.5	左	衆生
30-023-01	唯信鈔_専修寺_平仮名本	3	2	功	功	功	功をそなえ			1	2			こう	コウ					11.2		功
30-023-01	唯信鈔_専修寺_平仮名本	4	3	斟	斟	斟酌	斟酌			1	2			しむ	シムシヤク					21.2		斟酌
30-023-01	唯信鈔_専修寺_平仮名本	5	3	酌	酌	斟酌	斟酌			2	2			しやく	シムシヤク					21.2		斟酌
30-023-01	唯信鈔_専修寺_平仮名本	6	4	善	セン	善	センナリ			1	2			セン〔左〕	セン					21.3	左	善
30-023-01	唯信鈔_専修寺_平仮名本	7	5	精	シヤウ	精進	シヤウシン			1	2			シヤウ〔左〕	シヤウシン					21.3	左	精進
30-023-01	唯信鈔_専修寺_平仮名本	8	5	進	シン	精進	シヤウシン			2	2			シン〔左〕	シヤウシン					21.3	左	精進
30-023-01	唯信鈔_専修寺_平仮名本	9	6	貢	貢	高貢	高貢			2	1			こ	＊コ					30.2		高貢
30-023-01	唯信鈔_専修寺_平仮名本	10	7	卑	卑	卑下	卑下し			1	1			ひ	ヒケ					32.5		卑下し
30-023-01	唯信鈔_専修寺_平仮名本	11	7	下	下	卑下	卑下し			2	1			け	ヒケ					32.5		卑下し
30-023-01	唯信鈔_専修寺_平仮名本	12	8	怯	怯	怯弱	怯弱			1	2			かう	カウニヤク					33.1		怯弱
30-023-01	唯信鈔_専修寺_平仮名本	13	8	弱	弱	怯弱	怯弱			2	2			にやく	カウニヤク					33.1		怯弱
30-023-01	唯信鈔_専修寺_平仮名本	14	9	口	口	口稱	口稱			1	1			ク	クシヨウ					35.2		口稱
30-023-01	唯信鈔_専修寺_平仮名本	15	9	稱	稱	口稱	口稱			2	2			シヨウ	クシヨウ					46.3		口稱
30-023-01	唯信鈔_専修寺_平仮名本	16	10	尋	尋	尋常	尋常			1	2			しむ	シムシヤウ					48.2		尋常
30-023-01	唯信鈔_専修寺_平仮名本	17	10	常	常	尋常	尋常			2	2			しやう	シムシヤウ					48.3		尋常
30-023-01	唯信鈔_専修寺_平仮名本	18	11	師	師	醫師	醫師			2	1			し	＊シ					50.3		醫師
30-023-01	唯信鈔_専修寺_平仮名本	19	12	陰	陰	陰陽師	陰陽師			1	2			おむ	オムヤウシ					50.4		陰陽師
30-023-01	唯信鈔_専修寺_平仮名本	20	12	陽	陽	陰陽師	陰陽師			2	2			やう	オムヤウシ					50.4		陰陽師
30-023-01	唯信鈔_専修寺_平仮名本	21	12	師	師	陰陽師	陰陽師			3	1			し	オムヤウシ					50.4		陰陽師
30-023-01	唯信鈔_専修寺_平仮名本	22	13	治	治	治方	治方			1	1			ち	チホウ					51.2		治方
30-023-01	唯信鈔_専修寺_平仮名本	23	13	方	方	治方	治方			2	2			ほう	チホウ					51.2		治方
30-023-01	唯信鈔_専修寺_平仮名本	24	14	様	やう	様	やう			1	2			やう	ヤウ					51.4		やう
30-023-01	唯信鈔_専修寺_平仮名本	25	15	療	療	療治	療治			1	2			れう	レウチ					52.1		療治
30-023-01	唯信鈔_専修寺_平仮名本	26	15	治	治	療治	療治			2	1			ち	レウチ					52.1		療治
30-023-01	唯信鈔_専修寺_平仮名本	27	16	火	火	火車	火車			1	1			くわ	クワシヤ					54.4		火車
30-023-01	唯信鈔_専修寺_平仮名本	28	16	車	車	火車	火車			2	2			しや	クワシヤ					54.4		火車
30-023-01	唯信鈔_専修寺_平仮名本	29	17	鬼	鬼	鬼率	鬼率			1	1			くゐ	クヰソツ					54.5		鬼率
30-023-01	唯信鈔_専修寺_平仮名本	30	17	率	率	鬼率	鬼率			2	2			そつ	クヰソツ					54.5		鬼率
30-023-01	唯信鈔_専修寺_平仮名本	31	18	獄	コク	獄卒	コクソツ			1	2			コク〔左〕	コクソツ					54.5	左	獄卒
30-023-01	唯信鈔_専修寺_平仮名本	32	18	率	ソツ	獄卒	コクソツ			2	2			ソツ〔左〕	コクソツ					54.5	左	獄卒
30-023-01	唯信鈔_専修寺_平仮名本	33	19	切	切	切	切なる			1	2			せち	セチ					56.5		切なる
30-023-01	唯信鈔_専修寺_平仮名本	34	20	師	師	醫師	醫師			1	1			し	＊シ					57.3		醫師
30-023-01	唯信鈔_専修寺_平仮名本	35	21	陰	陰	陰陽師	陰陽師			1	2			おむ	オムヤウシ					57.3		陰陽師
30-023-01	唯信鈔_専修寺_平仮名本	36	21	陽	陽	陰陽師	陰陽師			2	2			やう	オムヤウシ					57.3		陰陽師
30-023-01	唯信鈔_専修寺_平仮名本	37	21	師	師	陰陽師	陰陽師			3	1			し	オムヤウシ					57.3		陰陽師
30-023-01	唯信鈔_専修寺_平仮名本	38	22	宿	宿	宿善	宿善			1	1	平	平＊	シユ反	シユシウ					67.3		宿善
30-023-01	唯信鈔_専修寺_平仮名本	39	22	宿	宿	宿善	宿善			1	2			シウ反〔左〕	シユシウ					67.3	左	宿善
30-023-01	唯信鈔_専修寺_平仮名本	40	22	善	善	宿善	宿善			2	2			セン	＊セン					67.3		宿善
30-023-01	唯信鈔_専修寺_平仮名本	41	22	宿	宿	宿善	宿善			1	2			シウ	シウ＊					67.4		宿善
30-023-01	唯信鈔_専修寺_平仮名本	42	22	宿	宿	宿善	宿善			1	1			シユ〔左〕	シユ＊					67.4	左	宿善
30-023-01	唯信鈔_専修寺_平仮名本	43	23	二	ニ	二乗	ニシヨウ			1	1			ニ〔左〕	ニシヨウ					72.2	左	二乗
30-023-01	唯信鈔_専修寺_平仮名本	44	23	乗	シヨウ	二乗	ニシヨウ			2	2			シヨウ〔左〕	ニシヨウ					72.2	左	二乗
30-023-01	唯信鈔_専修寺_平仮名本	45	24	知	チ	智慧	チヱ			1	1			チ〔左〕	チヱ					72.2	左	智恵
30-023-01	唯信鈔_専修寺_平仮名本	46	24	恵	ヱ	智慧	チヱ			2	1			ヱ〔左〕	チヱ					72.2	左	智恵